model,val_acc,method,seed,distance,ece,mce,ace,piece,Confbin,Knnbin,Proximity_bin,Conf_normalize
beit_large_patch16_384,0.8838,conf,2020,cosine,0.039160857,0.016505416,0.038924505,0.044317459,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2020,IVFFlat,0.039160857,0.016505416,0.038924505,0.04406426,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2020,IVFPQ,0.039160857,0.016505416,0.038924505,0.045472985,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf,2020,L2,0.039160857,0.016505416,0.038924505,0.044116374,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2020,cosine,0.007004473,0.003078219,0.005705782,0.014716788,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2020,IVFFlat,0.007509634,0.002923748,0.005210057,0.013575599,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2020,IVFPQ,0.008882508,0.002998817,0.005691098,0.016633836,15,10,5,FALSE
beit_large_patch16_384,0.8838,conf_kde,2020,L2,0.007271587,0.00291462,0.005016404,0.013580886,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2020,cosine,0.020607809,0.013274634,0.019781443,0.028215939,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2020,IVFFlat,0.020607809,0.013274634,0.019781443,0.028124601,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2020,IVFPQ,0.020607809,0.013274634,0.019781443,0.027595431,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts,2020,L2,0.020607809,0.013274634,0.019781443,0.02814844,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2020,cosine,0.008784565,0.004186917,0.007060445,0.015015765,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2020,IVFFlat,0.009163467,0.003907323,0.006273437,0.014534991,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2020,IVFPQ,0.010630968,0.004329443,0.007908805,0.017811944,15,10,5,FALSE
beit_large_patch16_384,0.8838,ensemble_ts_kde,2020,L2,0.009354614,0.003889235,0.00617027,0.014598843,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2020,cosine,0.056355846,0.018049021,0.060834403,0.071259903,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2020,IVFFlat,0.056355846,0.018049021,0.060834403,0.07163765,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2020,IVFPQ,0.056355846,0.018049021,0.060834403,0.063588766,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning,2020,L2,0.056355846,0.018049021,0.060834403,0.071540248,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2020,cosine,0.052905788,0.04087899,0.054196568,0.061550888,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2020,IVFFlat,0.052794423,0.041198993,0.05637814,0.061708977,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2020,IVFPQ,0.048839072,0.036918803,0.058995182,0.063797754,15,10,5,FALSE
beit_large_patch16_384,0.8838,histogram_binning_kde,2020,L2,0.052885264,0.041158993,0.055395552,0.061631907,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2020,cosine,0.028111544,0.013143307,0.027426003,0.032989481,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2020,IVFFlat,0.028111544,0.013143307,0.027426003,0.032741345,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2020,IVFPQ,0.028111544,0.013143307,0.027426003,0.032961722,15,10,5,FALSE
beit_large_patch16_384,0.8838,isotonic_regression,2020,L2,0.028111544,0.013143307,0.027426003,0.032729627,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2020,cosine,0.00713444,0.001551884,0.006722613,0.019478686,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2020,IVFFlat,0.00713444,0.001551884,0.006722613,0.019297935,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2020,IVFPQ,0.00713444,0.001551884,0.006722613,0.017110223,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression,2020,L2,0.00713444,0.001551884,0.006722613,0.019319953,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2020,cosine,0.005721659,0.001727679,0.00570931,0.014239936,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2020,IVFFlat,0.005748721,0.001692566,0.006156157,0.014349862,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2020,IVFPQ,0.005416933,0.001246992,0.005865479,0.014544606,15,10,5,FALSE
beit_large_patch16_384,0.8838,multi_isotonic_regression_kde,2020,L2,0.005742321,0.001693264,0.006256041,0.01441965,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2020,cosine,0.006708589,0.001318775,0.005984744,0.015597916,15,10,5,FALSE
beit_large_patch16_384,0.8838,pts,2020,IVFFlat,0.006708589,0.001318775,0.005984744,0.015968905,15,10,5,FALSE
